T||Y||borrow another book||13-10-2019||||||
D||N||homework||13-10-2019||23:59||||
E||N||lecture||08-10-2019||10:00||08-10-2019||12:00
E||N||tutorial||09-10-2019||17:00||09-10-2019||18:00
E||N||test||10-10-2019||09:00||10-10-2019||10:00
T||N||cs2105 cs2106 cs2107 cs2113t cs2101||13-10-2019||||||
D||N||homework||14-10-2019||23:59||||
E||N||steamboat||15-10-2019||18:00||15-10-2019||20:00
D||N||homework||29-10-2019||23:59||||
D||N||homework||14-10-2019||10:00||||
D||N||testing||27-10-2019||09:00||||
