300
DEP|200|23/10/2019
PAY|200|23/10/2019
DEP|100|30/10/2019
DEP|300|15/10/2019
DEP|200|24/10/2019
PAY|100|20/03/2019
DEP|100|20/03/2019
DEP|200|21/10/2019
PAY|200|25/10/2019
PAY|200|25/10/2019
DEP|200|25/10/2019
DEP|100|25/10/2019
PAY|100|25/10/2019
DEP|100|26/10/2019
PAY|150|01/10/2019
PAY|50|02/10/2019
PAY|50|03/10/2019
PAY|30|04/10/2019
PAY|50|05/10/2019
PAY|40|06/10/2019
PAY|30|07/10/2019
PAY|50|09/10/2019
PAY|100|09/10/2019
PAY|10|10/10/2019
PAY|20|11/10/2019
PAY|25|12/10/2019
PAY|20|13/10/2019
PAY|30|14/10/2019
PAY|200|15/10/2019
PAY|50|16/10/2019
PAY|20|17/10/2019
PAY|30|18/10/2019
PAY|10|19/10/2019
PAY|20|20/10/2019
PAY|35|21/10/2019
PAY|100|22/10/2019
PAY|40|23/10/2019
PAY|60|24/10/2019
PAY|50|25/10/2019
PAY|30|26/10/2019
PAY|40|27/10/2019
PAY|50|28/10/2019
PAY|60|29/10/2019
