ORCHARD COURT | 1.29854076090258 | 103.841547161565 | 28915.7679312658 | 31211.5598696489
201 VICTORIA STREET BUGIS+ SINGAPORE 188067 | 1.29950761348254 | 103.854370864874 | 30342.9310587412 | 31318.4777083658
YEW TEE INDUSTRIAL ESTATE | 1.3973210291170202 | 103.753758637401 | 19146.0410377225 | 42134.3256865684
WOODLANDS PARK | 1.41520591465648 | 103.758554325238 | 19679.800706937902 | 44111.9300771263
TUAS CONNECTION | 1.3190226400254899 | 103.63656583171499 | 6103.30588338804 | 33477.2047751788
PIONEER ROAD NORTH INDUSTRIAL ESTATE | 1.32597867800354 | 103.695543282849 | 12666.9887979561 | 34245.9288694654
CHANGI COURT | 1.34342774764578 | 103.962912392748 | 42422.390839679196 | 36175.3132443577
813 YISHUN RING ROAD KHATIB COURT SINGAPORE 760813 | 1.4178189469520899 | 103.832676842224 | 27928.5839683348 | 44400.731892423704
GEYLANG HERITAGE | 1.31289336228688 | 103.887634992935 | 34044.8997272849 | 32798.660778630496
SENTOSA | 1.2498144130047 | 103.82948052356899 | 27572.8505303748 | 25823.6513112113
418 SUNGEI GEDONG ROAD SUNGEI GEDONG CAMP SINGAPORE 718922 | 1.4194315739513501 | 103.69719361872801 | 12851.243211683799 | 44579.4939080942
YISHUN EMERALD | 1.4395060728876101 | 103.83087963122802 | 27728.5827571498 | 46798.785242907696
BISHAN LOFT | 1.3473069405357099 | 103.85241494866999 | 30125.2144204378 | 36603.8805618063
