SENTOSA | 1.2498144130047 | 103.82948052356899 | 27572.8505303748 | 25823.6513112113
SINGAPORE ZOO | 1.40395309699601 | 103.794232496062 | 23650.254290997997 | 42867.5526094679
JURONG BIRD PARK | 1.31905093495984 | 103.706067812352 | 13838.2263162751 | 33479.8300082106
MARINA BAY SANDS | 1.2839941013920602 | 103.85945063691901 | 30908.2819068497 | 29603.0786860827
RAFFLES PLACE | 1.2839332623453799 | 103.851463066212 | 30019.331353281603 | 29596.3437267579
BOAT QUAY | 1.2881578742698 | 103.849373215384 | 29786.6456805167 | 30063.886649661003
CLARKE QUAY | 1.29044567334676 | 103.84568804993799 | 29376.616295491298 | 30316.4486917481
NATIONAL UNIVERSITY OF SINGAPORE | 1.29539136589796 | 103.77938811055799 | 21998.010839336603 | 30863.3784146979
MERLION JETTY | 1.28632277035502 | 103.854495662366 | 30356.832054014303 | 29860.565790250897
EAST COAST PARK | 1.2977230348875801 | 103.90137805264798 | 35574.417461982004 | 31121.2402970418
MACRITCHIE RESERVOIR | 1.34499125917815 | 103.82444848223601 | 27012.855571717002 | 36347.8178386837
SINGAPORE FLYER | 1.28971341772821 | 103.863372152589 | 31344.706762601603 | 30235.496030988197
PADANG | 1.29050244322367 | 103.852942921128 | 30184.0213898383 | 30322.731084181
LAU PA SAT | 1.28059313261498 | 103.850360262069 | 29896.6008237088 | 29227.0085833464
BUGIS | 1.29950761348254 | 103.854370864874 | 30342.9310587412 | 31318.4777083658
